Record Number,Measurement Date Time,Sample Name,Depth (cm),Year,Year Increment,Laser Obscuration,Weighted Residual,Dx (10),Dx (25),Dx (50),std. dept.,Dx (75),Dx (90),Mode Count,"Result In Range  (.01,2) ?m","Result In Range  (2,63) ?m","Result In Range  (63,2000) ?m","Result In Range  (2,4) ?m","Result In Range  (8,16) ?m","Result In Range  (16,31) ?m","Result In Range  (31,63) ?m","Result In Range  (63,125) ?m","Result In Range  (125,250) ?m","Result In Range  (250,500) ?m","Result In Range  (500,1000) ?m","Result In Range  (1000,2000) ?m",notes,,
132,1/4/2018,Average of 'CB17_V2B_30_119.5cm',119.5,1217.476875,41.2930139,12.58,0.65,0.801,3.08,6.39,-0.008049596,12.3,20.8,2,17.72,81.89,0.39,14.85,24.45,12.95,3.28,0.39,0.00004,0,0,0,,,
136,1/4/2018,Average of 'CB17_V2B_35_124.5cm',124.5,1180.83756,36.63931524,13.34,0.66,0.691,2.41,5.57,-1.139592801,11.1,19.4,2,22.32,77.56,0.12,15.84,22.02,11.49,2.78,0.12,0,0,0,0,,,
140,1/4/2018,Average of 'CB17_V2B_40_129.5cm',129.5,1144.051449,36.78611078,11.38,0.67,0.691,2.33,5.35,-1.443177564,10.6,18.6,2,22.77,77.04,0.19,16.55,21.38,10.77,2.48,0.19,0,0,0,0,,,
144,1/4/2018,Average of 'CB17_V2B_50_139.5cm',139.5,1064.884773,79.16667659,11.79,0.64,0.803,2.88,6.11,-0.394430203,11.9,20.4,2,18.73,81.15,0.12,15.72,23.59,12.74,3.1,0.12,0,0,0,0,,,
148,1/4/2018,Average of 'CB17_V2B_60_149.5cm',149.5,990.3356677,74.54910503,11.39,0.66,0.753,2.61,5.87,-0.72561358,11.8,20.7,2,20.78,78.8,0.42,15.62,22.36,12.45,3.28,0.42,0.0001,0,0,0,,,
152,1/4/2018,Average of 'CB17_V2B_70_159.5cm',159.5,929.4692154,60.86645225,14.2,0.67,0.747,2.72,6.09,-0.422028817,12.2,21.3,2,20.26,79.14,0.6,14.91,22.95,12.71,3.55,0.6,0.003,0,0,0,,,
176,1/4/2018,Average of 'CB17_V2B_75_164.5cm',164.5,909.2117327,20.2574827,15.43,0.62,0.776,2.75,6.17,-0.311634358,12.6,22.3,2,19.82,79.57,0.6,15.21,22.6,13.34,4.04,0.6,0.0001,0,0,0,,,
156,1/4/2018,Average of 'CB17_V2B_80_169.5cm',169.5,857.396493,51.81523969,12.45,0.65,0.726,2.53,6.05,-0.477226047,13,23.9,2,21.49,77.65,0.85,14.81,21.27,13.31,4.98,0.85,0.003,0,0,0,,,
252,1/5/2018,Average of 'CB17_V2_85_174.5',174.5,854.396493,3,13.22,0.64,0.635,1.84,5.1,-1.788160248,11,20.7,2,26.04,73.32,0.64,15.81,19.36,11.1,3.56,0.63,0.003,0,0,0,,,
160,1/4/2018,Average of 'CB17_V2B_90_179.5cm',179.5,790.3302853,64.06620774,12.63,0.69,0.654,1.88,5.22,-1.622568559,11.5,21.5,2,25.84,73.5,0.66,15.55,19.56,11.75,3.89,0.65,0.005,0,0,0,,,
256,1/5/2018,Average of 'CB17_V2_95_184.5',184.5,759.8759114,30.4543739,10.42,0.64,0.693,2.47,5.73,-0.918803883,11.5,20.4,2,22.04,77.54,0.42,15.23,22.08,11.94,3.18,0.42,0.003,0,0,0,,,
